id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
656,South Africa,412.09,0.0000100754,0.0004818736,0.3947309703107353,58558270,1224387.48,590,171.1,178,29,524,167384,2025-01-22,2023-08-18 00:00:00,,18,423,601,11,239,28,138
588,Sierra Leone,0,0.0000000000,0.0000000000,0.29872255795242664,7813215,72036.95,0,0.0,0,0,None,153748,2024-01-29,,,0,0,0,0,0,0,0
213,Cuba,39.0,0.0000035294,0.0003651620,0.3252797633203141,11333483,109540.42,40,40.0,40,100,39,167048,2025-01-12,2024-12-15 00:00:00,,0,0,40,0,37,12,38
526,French Polynesia,29.0,0.0000035805,0.0003815862,0.3006340842982775,279287,2620.64,1,1.0,1,100,29,166490,2024-12-27,2024-12-25 00:00:00,,0,0,1,0,1,0,1
211,Costa Rica,35.0,0.0000463590,0.0045323997,0.4583346891418759,5047561,51628.28,234,234.0,239,100,35,166980,2025-01-10,2024-12-19 00:00:00,,0,0,239,5,229,36,234
517,Oman,0,0.0000000000,0.0000000000,0.29445358526266413,4974986,312770.98,0,0.0,0,0,None,153752,2024-01-29,,,0,0,0,0,0,0,0
490,Mauritius,116.0,0.0000007901,0.0005309349,0.3006471566445416,1265711,1883.47,1,1.0,1,100,116,163288,2024-09-29,2024-09-29 00:00:00,,0,0,1,0,1,1,1
48,Barbados,0,0.0000000000,0.0000000000,0.2999930810568229,287025,390.17,0,0.0,0,0,None,153754,2024-01-29,,,0,0,0,0,0,0,0
417,Cambodia,365.0,0.0000001820,0.0000165045,0.29677666232894306,16486542,181769.04,3,0.0,0,0,721,154211,2024-02-04,2023-02-02 00:00:00,,0,3,3,0,1,1,3
652,Samoa,0,0.0000000000,0.0000000000,0.2999519827081358,197097,2707.77,0,0.0,0,0,None,153757,2024-01-29,,,0,0,0,0,0,0,0
603,eSwatini,0,0.0000000000,0.0000000000,0.29969799842441314,1148130,17030.34,0,0.0,0,0,None,153758,2024-01-29,,,0,0,0,0,0,0,0
480,Macao S.A.R,0,0.0000000000,0.0000000000,0.29999959586150904,640445,22.79,0,0.0,0,0,None,153759,2024-01-29,,,0,0,0,0,0,0,0
